Sample in Buffer	Sample in Window	Output_Int
0	0	0	
1	1	21	
2	2	82	
3	3	224	
4	4	477	
5	5	875	
6	6	1436	
7	7	2154	
8	8	3001	
9	9	3932	
10	10	4893	
11	11	5828	
12	12	6687	
13	13	7430	
14	14	8030	
15	15	8474	
16	16	8763	
17	17	8909	
18	18	8933	
19	19	8861	
20	20	8722	
21	21	8544	
22	22	8352	
23	23	8167	
24	24	8005	
25	25	7876	
26	26	7785	
27	27	7732	
28	28	7714	
29	29	7725	
30	30	7758	
31	31	7805	
32	32	7859	
33	33	7914	
34	34	7965	
35	35	8008	
36	36	8041	
37	37	8063	
38	38	8074	
39	39	8075	
40	40	8068	
41	41	8055	
42	42	8038	
43	43	8019	
44	44	8000	
45	45	7983	
46	46	7969	
47	47	7959	
48	48	7953	
49	49	7951	
50	50	7953	
51	51	7958	
52	52	7965	
53	53	7973	
54	54	7981	
55	55	7988	
56	56	7993	
57	57	7996	
58	58	7997	
59	59	7996	
60	60	7993	
61	61	7989	
62	62	7985	
63	63	7982	
64	64	7980	
65	65	7979	
66	66	7979	
67	67	7980	
68	68	7982	
69	69	7985	
70	70	7989	
71	71	7994	
72	72	8000	
73	73	8006	
74	74	8011	
75	75	8014	
76	76	8015	
77	77	8014	
78	78	8011	
79	79	8006	
80	80	8000	
81	81	7994	
82	82	7989	
83	83	7986	
84	84	7985	
85	85	7986	
86	86	7989	
87	87	7993	
88	88	7997	
89	89	8000	
90	90	8002	
91	91	8003	
92	92	8003	
93	93	8002	
94	94	8000	
95	95	7997	
96	96	7993	
97	97	7988	
98	98	7983	
99	99	7979	
100	100	7977	
101	101	7977	
102	102	7979	
103	103	7983	
104	104	7988	
105	105	7993	
106	106	7997	
107	107	8000	
108	108	8002	
109	109	8003	
110	110	8003	
111	111	8002	
112	112	8000	
113	113	7997	
114	114	7993	
115	115	7988	
116	116	7983	
117	117	7979	
118	118	7977	
119	119	7977	
120	120	7979	
121	121	7983	
122	122	7988	
123	123	7993	
124	124	7997	
125	125	8000	
126	126	8002	
127	127	8003	
128	128	8003	
129	129	8002	
130	130	8000	
131	131	7997	
132	132	7993	
133	133	7988	
134	134	7983	
135	135	7979	
136	136	7977	
137	137	7977	
138	138	7979	
139	139	7983	
140	140	7988	
141	141	7993	
142	142	7997	
143	143	8000	
144	144	8002	
145	145	8003	
146	146	8003	
147	147	8002	
148	148	8000	
149	149	7997	
150	150	7993	
151	151	7988	
152	152	7983	
153	153	7979	
154	154	7977	
155	155	7977	
156	156	7979	
157	157	7983	
158	158	7988	
159	159	7993	
160	160	7997	
161	161	8000	
162	162	8002	
163	163	8003	
164	164	8003	
165	165	8002	
166	166	8000	
167	167	7997	
168	168	7993	
169	169	7988	
170	170	7983	
171	171	7979	
172	172	7977	
173	173	7977	
174	174	7979	
175	175	7983	
176	176	7988	
177	177	7993	
178	178	7997	
179	179	8000	
180	180	8002	
181	181	8003	
182	182	8003	
183	183	8002	
184	184	8000	
185	185	7997	
186	186	7993	
187	187	7988	
188	188	7983	
189	189	7979	
190	190	7977	
191	191	7977	
192	192	7979	
193	193	7983	
194	194	7988	
195	195	7993	
196	196	7997	
197	197	8000	
198	198	8002	
199	199	8003	
200	200	8003	
201	201	8002	
202	202	8000	
203	203	7997	
204	204	7993	
205	205	7988	
206	206	7983	
207	207	7979	
208	208	7977	
209	209	7977	
210	210	7979	
211	211	7983	
212	212	7988	
213	213	7993	
214	214	7997	
215	215	8000	
216	216	8002	
217	217	8003	
218	218	8003	
219	219	8002	
220	220	8000	
221	221	7997	
222	222	7993	
